code6	title	class	system/local	cto	cto_name	ucd_academic	ucd_senate_federation	Durst/Federation	Academic Count	Staff Count
003375	ASSOC ADJ PROF-FY-B/E/E	ASSOC ADJ PROF-FY-B/E/E	Academic	Systemwide	335	T	Federation	Federation	1	
003376	ASSOC ADJ PROF-AY-1/9-B/E/E	ASSOC ADJ PROF-AY-1/9-B/E/E	Academic	Systemwide	335	T	Federation	Federation		
003377	ADJ PROF-AY-B/E/E	ADJ PROF-AY-B/E/E	Academic	Systemwide	335	T	Federation	Federation	13	
003378	ADJ PROF-FY-B/E/E	ADJ PROF-FY-B/E/E	Academic	Systemwide	335	T	Federation	Federation	5	
003379	ADJ PROF-AY-1/9-B/E/E	ADJ PROF-AY-1/9-B/E/E	Academic	Systemwide	335	T	Federation	Federation		
003380	ADJ PROF-AY-1/10-BEE	ADJ PROF-AY-1/10-BEE	Academic	Systemwide	335	T	Federation	Federation		
003381	PROF IN RES-AY-B/E/E	PROF IN RES-AY-B/E/E	Academic	Systemwide	311	T	Senate			
003382	PROF IN RES-FY-B/E/E	PROF IN RES-FY-B/E/E	Academic	Systemwide	311	T	Senate			
003383	PROF IN RES-AY-1/9-B/E/E	PROF IN RES-AY-1/9-B/E/E	Academic	Systemwide	311	T	Senate			
003384	ASSOC PROF IN RES-AY-B/E/E	ASSOC PROF IN RES-AY-B/E/E	Academic	Systemwide	311	T	Senate			
003385	ASSOC PROF IN RES-FY-B/E/E	ASSOC PROF IN RES-FY-B/E/E	Academic	Systemwide	311	T	Senate			
003386	ASSOC PROF IN RES-AY-1/9-B/E/E	ASSOC PROF IN RES-AY-1/9-B/E/E	Academic	Systemwide	311	T	Senate			
003387	ASST PROF IN RES-AY-B/E/E	ASST PROF IN RES-AY-B/E/E	Academic	Systemwide	311	T	Senate			
003388	ASST PROF IN RES-FY-B/E/E	ASST PROF IN RES-FY-B/E/E	Academic	Systemwide	311	T	Senate			
003389	ASST PROF IN RES-AY-1/9-B/E/E	ASST PROF IN RES-AY-1/9-B/E/E	Academic	Systemwide	311	T	Senate			
003390	PROJ SCIENTIST-FY	PROJ SCIENTIST-FY	Academic	Systemwide	581	T	Federation	Federation	22	
003391	PROJ SCIENTIST-FY-B/E/E	PROJ SCIENTIST-FY-B/E/E	Academic	Systemwide	581	T	Federation	Federation	4	
003392	ASSOC PROJ SCIENTIST-FY	ASSOC PROJ SCIENTIST-FY	Academic	Systemwide	581	T	Federation	Federation	49	
003393	ASSOC PROJ SCIENTIST-FY-B/E/E	ASSOC PROJ SCIENTIST-FY-B/E/E	Academic	Systemwide	581	T	Federation	Federation	4	
003394	ASST PROJ SCIENTIST-FY	ASST PROJ SCIENTIST-FY	Academic	Systemwide	581	T	Federation	Federation	81	
003395	ASST PROJ SCIENTIST-FY-B/E/E	ASST PROJ SCIENTIST-FY-B/E/E	Academic	Systemwide	581	T	Federation	Federation	15	
003396	VIS PROJ SCIENTIST	VIS PROJ SCIENTIST	Academic	Systemwide	583	T	No			
003397	VIS ASSOC PROJ SCIENTIST	VIS ASSOC PROJ SCIENTIST	Academic	Systemwide	583	T	No			
003398	VIS ASST PROJ SCIENTIST	VIS ASST PROJ SCIENTIST	Academic	Systemwide	583	T	No			
003403	PROJ SCIENTIST-FY NON REP	PROJ SCIENTIST-FY NON REP	Academic	Systemwide	581	T	No		1	
003404	PROJ SCI-FY-B/E/E NON REP	PROJ SCI-FY-B/E/E NON REP	Academic	Systemwide	581	T	No			
003405	ASSOC PROJ SCI-FY NON REP	ASSOC PROJ SCI-FY NON REP	Academic	Systemwide	581	T	No			
003406	ASSOC PROJ SCI-FY-B/E/E NONREP	ASSOC PROJ SCI-FY-B/E/E NONREP	Academic	Systemwide	581	T	No			
003407	ASST PROJ SCI-FY NON REP	ASST PROJ SCI-FY NON REP	Academic	Systemwide	581	T	No			
003408	ASST PROJ SCI-FY-B/E/E NON REP	ASST PROJ SCI-FY-B/E/E NON REP	Academic	Systemwide	581	T	No			
003441	COOP EXT ADVISOR	COOP EXT ADVISOR	Academic	Systemwide	728	T	No			
003442	COOP EXT ADVISOR NEX	COOP EXT ADVISOR NEX	Academic	Systemwide	728	T	No			
003451	ASSOC COOP EXT ADVISOR	ASSOC COOP EXT ADVISOR	Academic	Systemwide	728	T	No			
003452	ASSOC COOP EXT ADVISOR NEX	ASSOC COOP EXT ADVISOR NEX	Academic	Systemwide	728	T	No			
003461	ASST COOP EXT ADVISOR	ASST COOP EXT ADVISOR	Academic	Systemwide	728	T	No			
003462	ASST COOP EXT ADVISOR NEX	ASST COOP EXT ADVISOR NEX	Academic	Systemwide	728	T	No			
003475	ASST SPECIALIST COOP EXT	ASST SPECIALIST COOP EXT	Academic	Systemwide	729	T	Federation	Federation	26	
003476	ASST SPECIALIST COOP EXT NEX	ASST SPECIALIST COOP EXT NEX	Academic	Systemwide	729	T	Federation	Federation		
003477	ASSOC SPECIALIST COOP EXT	ASSOC SPECIALIST COOP EXT	Academic	Systemwide	729	T	Federation	Federation	13	
003478	ASSOC SPECIALIST COOP EXT NEX	ASSOC SPECIALIST COOP EXT NEX	Academic	Systemwide	729	T	Federation	Federation		
003479	SPECIALIST COOP EXT	SPECIALIST COOP EXT	Academic	Systemwide	729	T	Federation	Federation	29	
003480	SPECIALIST COOP EXT NEX	SPECIALIST COOP EXT NEX	Academic	Systemwide	729	T	Federation	Federation		
