KFS_PROPOSAL_NUMBER,ORACLE_AWARD_NUMBER
131559,K321F49
131563,K321F50
131560,K321F51
131561,K321F52
131562,K321F53
131577,K321F55
131580,K321F56
131581,K321F57
131582,K321F58
131574,K321F59
131576,K321F60
131437,K321F61
131578,K321F62
131579,K321F63
131575,K321F64
131586,K321F65
131584,K321F66
131591,K321F67
131588,K321F68
131596,K321F71
131597,K321F72
131598,K321F73
131599,K321F74
131600,K321F75
131610,K321F78
131888,K321F79
131618,K321F80
131616,K321F81
131615,K321F82
131617,K321F83
131620,K321F85
131625,K321F86
131621,K321F87
131628,K321F88
131623,K321F89
131624,K321F90
131626,K321F91
131629,K321F96
131630,K321F97
131631,K321F98
131632,K321F99
106431,K322034
106422,K322097
107022,K322212
107186,K322226
107237,K322232
106477,K322287
106679,K322309
107189,K322387
107749,K322394
1894,K322399
1922,K322427
1925,K322430
2143,K322670
2160,K322687
112913,K322A03
112764,K322A11
112962,K322A12
113044,K322A16
113094,K322A18
112982,K322A52
113117,K322A68
113107,K322A69
112999,K322A71
113015,K322A72
113058,K322A91
113146,K322A94
113160,K322A96
117308,K322B00
117321,K322B01
117340,K322B03
117447,K322B06
117275,K322B20
117399,K322B21
117410,K322B30
117411,K322B31
117453,K322B33
117454,K322B34
117476,K322B35
117480,K322B36
117490,K322B38
117409,K322B39
117390,K322B51
117531,K322B57
117532,K322B58
117533,K322B59
117550,K322B60
117514,K322B61
117527,K322B62
117525,K322B64
117524,K322B65
117538,K322B75
117546,K322B76
117544,K322B79
117543,K322B80
117541,K322B82
117441,K322B84
117559,K322B87
117566,K322B95
117554,K322B98
117563,K322B99
122154,K322C01
122155,K322C02
122156,K322C03
122157,K322C04
122158,K322C05
122159,K322C06
122160,K322C07
122162,K322C08
122172,K322C09
122196,K322C10
122168,K322C11
122173,K322C12
122169,K322C13
122170,K322C14
122171,K322C15
122174,K322C16
122177,K322C18
122178,K322C19
122179,K322C20
122180,K322C21
122181,K322C22
122182,K322C23
122183,K322C24
122184,K322C25
122185,K322C26
122186,K322C27
122187,K322C28
122188,K322C29
122189,K322C30
122190,K322C31
122191,K322C32
122192,K322C33
122193,K322C34
122202,K322C35
122206,K322C37
122203,K322C38
122200,K322C39
122201,K322C40
122305,K322C41
122204,K322C42
122209,K322C43
122309,K322C44
122211,K322C45
122212,K322C46
122219,K322C47
122213,K322C48
122216,K322C50
122217,K322C51
122220,K322C53
122350,K322C54
122281,K322C55
122227,K322C56
122229,K322C57
122223,K322C59
122228,K322C60
122224,K322C61
122230,K322C62
122258,K322C63
122259,K322C64
122260,K322C65
122261,K322C66
122257,K322C67
122245,K322C69
122246,K322C70
122247,K322C71
122249,K322C72
122256,K322C73
122250,K322C74
122251,K322C75
122263,K322C76
122278,K322C77
122254,K322C78
122255,K322C79
122237,K322C80
122239,K322C81
122233,K322C82
122241,K322C83
122244,K322C84
122234,K322C85
122238,K322C86
122243,K322C87
122231,K322C88
122226,K322C89
122235,K322C90
122236,K322C91
122240,K322C92
122242,K322C93
122265,K322C94
122271,K322C95
122269,K322C96
122267,K322C97
122268,K322C98
122276,K322C99
126788,K322D02
126832,K322D03
126836,K322D04
126835,K322D06
126834,K322D07
126837,K322D08
126839,K322D09
126833,K322D10
126840,K322D11
126775,K322D12
126857,K322D16
126849,K322D17
126848,K322D18
126853,K322D19
126847,K322D20
126846,K322D21
126854,K322D22
126855,K322D23
126852,K322D25
129915,K322D27
126870,K322D29
126864,K322D30
126866,K322D31
126779,K322D32
126869,K322D33
126863,K322D34
126872,K322D35
126859,K322D36
126861,K322D37
126858,K322D38
126871,K322D39
126867,K322D40
126868,K322D41
126865,K322D42
126875,K322D43
126881,K322D44
126876,K322D45
126882,K322D46
126880,K322D47
126879,K322D48
126878,K322D49
126891,K322D53
126889,K322D54
